concept	Badga	Betta_Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari_Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
long	u tː a	u d d u	m u ɾ g u n	l aː m	u d d a	u d d ə	p o ɖ aː m	n iː t a m	p o ɖ a ʋ u ʈ aː d u	d i g aː h	n/a	n iː n ɖ a,n iː l a m u ɭː a	d i g a ɖ o	n/a	n/a	n iː ɳ ʈ a,n iː ɭ a m,n iː ɭ a m aː n a	p o ɖ a ʋ u	n e ɾ t i	u d a	n iː ʈ a
louse	i l i,k i l i	p j aː n u	b oː dʱ	p o ɾ k i	h eː n u	p eː n ə	p aː n u	p a i j i	p o ɾ i k i	p eː n	n/a	p eː n	n/a	n/a	p eː n i	p eː n ə	p eː n u	i ɾ s	p eː n	p eː n ə
man	k a n ɖ u m u g a	g ə ɳ ɖ a ɭ ə	n a ɾ e e n ə	m a n k a l	p u r u ʂ a,g a n ɖ a s u	aː n a a ɭ ə	m a n i ʂ aː n	g a n m a g u	m a g a ʋ aː ɳ ɖ,p eː k aː l	m eː t	k a k a s i,ɖ o l a,k o d o m i	aː ɳ ə,p u ɾ u ʂ a n	m u ɖ s aː	n/a	n/a	aː ɳ ə,aː ɳ,aː m b ɭ e	p u ɾ u ʂ u ɖ u,m a g a ʋ aː ɖ u	aː l o m	aː n dʒ ʋ u	p a n i j a
many	a pː a ɾ a	k a j ɾ i j ə	b aː z	dʒ aː s t a,ʋ e lː e n	h a l a ʋ u	d u m b a	p e ɾ e	iː dʒ oː ɖ	tʃ aː l a,b e tːʃ oː k o	b a gː e	n/a	p a l a,o tː i ɾ i	d iː k e h i,g aː ɖ e h i	n/a	n/a	p a l ə,n e ɾ i j a	n aː n aː,tʃ aː l a	u pː uː m	b aː ɾ i	t u m b a
meat	p aː ɖ ə,p aː g ə	ə ɾ s i	s uː	h a ʋː i	b aː ɖ u,m aː m s a	e ɾ a tʃ i	m u ɾ i j a	p o d u,k e t e ɾ i	a n g iː	a h ɖ aː	n/a	i ɾ a tʃ i,m aː m s a m	m aː k ɖ u	n/a	n/a	i r̪ a i c c i,k a ɾ i	m aː m s a m u	p iː t	m aː s a	i ɾ a tʃ i
moon	t i n g u ʋ a	p ə ɾ i	ʈ uː b e	dʒ a n g o	c a n d r a,tʃ e n d ɾ a	tʃ e n d ɾ a	n e l a	n e l a v ə,u n aː ʋ ə	s a n ɖ a m aː m a,n e lː a	tʃ a n d o	l e n dʒ u	tʃ e n d ɾ a n	b i l p d u	n e l i n g	n e l i ɲ	c a n t i r a n̪,n i l a	tʃ e n d ɾ u ɖ u	n i l a	tʃ e n d ɾ e	n i l a tʃ i
mountain	m a l e	b ə ʈː ə	m a ʃ	m e ʈː a	b e ʈː a	k u n d ə	d a n ɖ i m eː ʈ	ʋ eː ʈ u m e	g u b a l,m e ʈː a	p a ɾ t a	n/a	m a l a,p a ɾ ʋ a t a m	b eː ɖ o # p a h aː ɖ i	k a pː e	n/a	m a l a i	k o n ɖ a,p a ɾ ʋ a t a m u	t i ʈː ə	d aː ɾ i	k u n d ə
mouth	p e	b aː j ə	b aː	t o ɖː i	b aː j i	b aː j i	m uː t i	ʋ aː j i	p a v uː ɾ	b a j i	g u ʈ i	ʋ aː j a	t o ɾ o	tʃ aː l u	v aː y	ʋ aː j i,ʋ aː	n oː ɾ u	p oː i	b aː j i	b aː j i
name	e s a ɾ ə	p j aː ɾ ə	p i n	p o ɾ o l	h e s a r u	p e d a	p eː ɾ	p eː ɾ	p e d e ɾ	n aː m e	d o r u	p e ɾ ə	n aː m i	n/a	p i d i r	p eː ɾ ə	p eː ɾ u	p eː ɾ	p u d a ɾ ə	p eː ɾ u
neck	k a t ə	k pː m aː ɭ i	l e x	g u ɖ u n g a	k u tʰ i g e	b oː ɭ e	m a k	k a ɖ a t eː l	m e ɖ a k aː j a	kʰ e s i r	n/a	k a ɻ u t ə	a s a ɾ d u,ɖ oː n ɖ o	k a n ɖ	n/a	k a ɭ u tː ə	m e ɖ a	m a ɾ	k e kː i l ə	b oː ɭ e
new	o s t ə	p ə j j m ə n	p uː s k u n	p u n a	h o s a d u	p u d i j a	k o t a	p u d i j a d ə	k o tː a d	p uː n a	p u n i	p u d i j a	p uː n a	n i a	p u n	p u d u s ə,p u d u	k o tː a	p u d uː n	p o s a tː a	p u d i j a i
night	i ɾ ə	ə d l ə	n a m	n a ɾ k a ɖ	ɾ aː t ɾ i	b a j i ʈ ə	s i ɾ b e d i n	eː l u m a ɾ a m	m u l i p e	m aː h a	l aː n	ɾ aː t ɾ i	ɾ aː t i,m aː aː	n/a	n/a	i ɾ aː ʋ ə,ɾ aː ʋ ə,ɾ aː t ɾ i	ɾ aː t ɾ i	e kː aː ɖ ə	ɾ aː t ɾ e	a n d i
nose	m uː k ə	m uː kː ə	b aː m u s	m o s o ɾ	m uː g ə	m uː kː ə	m uː kː	m uː k ə	m o sː oː ɾ	m uː j i	m u n g e l i	m uː k ə	m u s oː	m u n g a n	m u v ã ɖ	m uː k ə	m u kː u	m i tː uː p	m uː g u	m uː kː ə
not	k u lː e	i l a,a l a	aː x a,n ɛ	h e lː e	a lː a	i lː e	k aː d u	i lː a	i lː e	m a l a	n/a	i lː a	m a l aː,h a m b i j a	n/a	n/a	i lː e	l eː d u,k aː d u	aː ɖ u d i	aː t u	i lː e
one	o n d ə	ʋ a n d ə	a s i t	o n d i	o n d u	o n d ə	o kː oː t	oː d i t	o ɾ ɾ oː ʈ	oː n d	r a n ɖ i	o nː ə	oː n d	o k u ʈ i	o k	o nː ə	o k a ʈ i	u tː ə	o n dʒ i	o n dʒ u
person	k a n ɖ ə	aː ɭ ə	b a n d a g	l o k u ɾ	m a n u s a	m a n a s a	m a n i ʂ aː n	n/a	m a n s uː ɳ ɖ	aː l	n/a	m a n u ʂ a n	m a l a h	n/a	n/a	m a n̪ i t a n̪,m a n u ʂ a n	m a n i ʂ i	k i nː uː ɖ ə	m a n u ʂ eː	m a n u tʃ e
rain	m e	m a ɭ i	p ɛ ɾ	p i ɾ	m a ɭ e	m a ɭ e	ʋ aː n a	m a i	ʋ aː n a	tʃ eː p	b e l a	m a ɻ a	dʒ a ɖ aː	n/a	v aː n i	m a ɻ a i	ʋ a r ʂ a m,ʋ aː n a	m e ɖ u tː i	b a ɾ s a	m a ɭ e
red	k e pː ə	t i sː ə g a ɳ ɖ aː n g i	x iː s u n	e ɾ ɾ a g,j e ɾ ɾ a g	k e m p u	tʃ oː p ə	j e r u ɖ i	n e t i ɾ	e ɾ ɾ a	k h e s o	n e t u ɾ i,g a ɖ g a	tʃ u m a pː ə	eː s o	n/a	k e y	c e + m +,s e ʋ a pː ə,s e g a pː ə	e ɾ u p u	k e pː ə	k e m p u	tʃ oː p ə
road	t aː ɾ i	b a ʈː i	s a ɖ a k	h a ɾ ɾ i	m aː r g a,r a s t e	b aː t e,ɾ a s t e	d a a ɾ,t aː ʋ u	t aː ɾ i	a ɾ ɾ i	ɖ a h a ɾ e	n/a	ʋ a ɻ i	p aː o d u	r a s t a	p aː v	v a l̪ i	m aː ɾ g a m u,d aː ɾ i,b aː ʈ a	aː l a ɾ	p a ɾ v a t a	r a s t e
root	p eː ɾ ə	b j aː ɾ ə	ɾ oː t ɛ	h iː ɾ	b eː ɾ u	b eː ɾ ə	ʋ eː ɾ k a m	n/a	ʋ eː ɾ	p aː d a	ʋ e ɾ	ʋ eː ɾ ə	b a n d aː	k u ɾ e	v aː r	ʋ eː ɾ ə	ʋ eː ɾ u	ʋ e ɾ	b eː ɾ u	b eː ɾ ə
round	n/a	b ə j n s a k ɾ a n g uː d ə	g oː l # p e ɾ i	g u ɳ ɖ ɾ a l	b a ʈː a,d u ɳ ɖ a n e	u ɾ u ʈ a	b u bː a ɾ i	ʋ a ʈ a m	g u ɳ ɖ ɾ aː n	g u ʈ i ɳ ɖ a	n/a	v a ʈː a +,u ɾ u n ɖ a	g u ɖ m e,g u ɖ i j o	n/a	n/a	ʋ a ʈː a m,u ɾ u n ɖ a i	g u ɳ ɖ ɾ a n i	u ʈː i	u ɾ u ʈ ə	u ɾ u ʈ u
sand	p a kː e	m a ɳ a l ə	ɾ eː k	u s k e	m a r a ɭ u,u s u b u	m a ɳ a	u s u k a	n/a	i s i k e	tʃ a l k u ɾ u	b a l i	m a ɳ a l	b aː l i	m aː n	m a n	m a ɳ a l	i s u k a	m a n a l	p o j j a	m a ɳ ə
say	e g ə ʋ ə	p əː ɭ	p aː n i n g	i n	h e ɭ u	a nː ə	n/a	p a i d u	k e lː a	b a kʰ n a	n/a	p a ɾ a j u g a	h a u ɖ p o	n/a	e n +	tʃ o lː ə,s o lː ə	tʃ e pː u	aː ʋ a ɖ ə	p a ɳ a ɾ a	p a ɾ e
see	n oː ɖ ə	n oː ɖ	u nː i n g	h u ɖ a	n oː ɖ u	n oː ʈ ə	t aː n a	n oː ʈ ə	uː ɖ a	j eː ɾ n a	n/a	k aː ɳ u k a	ʈ u n ɖ p o	tʃ u	n/a	k aː ɳ +,p aː ɾ ə	tʃ uː ɖ u	n uː ʈ	t u ʋ aː ɾ a	n oː k u
seed	p i tː ə	b i sː ə	b e dːʒ	v i dːʒ a,p e ɖ e	b e d e,b iː dʒ a	k u ɾ u	ʋ i tː a n a m	ʋ i t u	p eː ɳ ɖ k u	b iː,g o ʈ a	n/a	v i t a,p a ɾ i pː ə	n/a	n/a	v i tː i d	ʋ e d ə	ʋ i tː a n a m,b iː dʒ a m,g i n dʒ a	p i tː ə	b iː dʒ a	k u ɾ u
sit	k u ɭ ə ʋ ə	k uː ɾ s u,k uː t n u # iː ɾ	t uː l i n g,z u n ɖ i n g	u d d a	k u ɭ i t i k o,k uː t u k o	a ɭ e	u d ə	n/a	k u d d aː	o kʰ n a	n/a	i ɾ i kː u g a	h o k p o	u n d u	n/a	u kː aː ɾ ə	k uː ɾ tʃ o	e ɾ a kː a ɾ	k u lː a ɾ a	i ɾ a i k u
skin	t oː l ə	t oː l ə	s i l	t oː l	t o g a l u,tʃ a ɾ m a	t oː l ə	t oː l	t oː l u	t oː l	tʃ a p ʈ a	n/a	t o l i,tʃ e ɾ m a m	tʃ aː n a	t a l	t oː l	t oː l ə	t oː l u,tʃ a ɾ m a m u	t uː ɾ s	tʃ e ɾ m a	t oː l u
sleep	o ɾ ə g ə d ə	a ɾ g u	x a tʃ i n g	m iː ɳ ɖ a	m a l a g u +,n i d r i s o	o ɾ a	iː m a n g s a t i	o ɾ ə g ə	u n dʒ a ʈ a m	k h a n d a ɾ n a	n/a	u ɾ a n g u g a	a n d a ɾ p o # k oː ɖ a,a n ə a	n/a	m a ɖ +	u r̪ a ŋ k u +,t uː n g ə	n i d ɾ a p o ʋ u	o ɾ kʰ ə	dʒ i pː a ɾ a	o ɾ a
small	k u nː a d ə,k i ʈː iː ʈ	k i ɾ i	tʃ u n a k	tʃ i nː a	tʃ i kː a d u	tʃ e ɾ i j a d ə	s i nː a	g u n t ə	tʃ i nː a d	s a nː i	n/a	tʃ e ɾ i j a	ɾ i k ʋ aː d i,s a ɾ ʋ e	k a n d eː k	c i n	c i r̪ i y a,tʃ i nː a	tʃ i nː a	k eː ɾ uː ɖ ə	k i ɲ a	tʃ e ɾ i j a
smoke	h o g e	p ə gː i	m oː ʃ	p o j a	h o g e	p o g e	p o g	p e g u	k u m p oː ɖ	m o s a g a	n/a	p u k a	m oː h a	p o aː g	n/a	p u k a i,p u g a i	p o g a	p u k u ɖ t i	p o g a	p o g e
stand	n i pː ə	əː ɭ,ə d d ə n u # iː ɾ	s a l i n g,dʒ eː k # s a l i n g	n i l	n i n t i k o	n i n d ə	n iː m aː n	n i nː a t u k ə	n i lː a,n i lː i m a n	i dːʒ n a	n/a	n i l k u g a	h i l p o	n/a	n i l p +	n i l	n i l tʃ o n u,n i l a b a ɖ u	m u kː a ɖ u ɾ i l	u n t a ɾ a	n i n dʒ o
star	n a tːʃ a t ɾ a,p aː n d m iː n ə	m iː n u	i s ʈ aː ɾ	s u kː u	n a k ʂ a t ɾ	n a k ʂ a t ɾ a	s u kː a	n a k ʂ a ʈ i ɾ a m	u kː a	b iː n k o	h u k a	n a k ʂ a t ɾ a m	b iː n k a	p u ʈ	c u kː a	m iː n̪,n a tːʃ a t i ɾ a m	n a k ʂ a t ɾ a m u,tʃ u kː a	n a ʈ tʃ a t i ɾ a m	n a k ʂ a t ɾ e	n a tːʃ a t i ɾ a
stone	k a lː ə	k a lː ə	x a l	b a ɳ ɖ a	k a lː u,k a lː u	k a lː ə	g u n ɖ ə	k a l	ɾ aː j	p a kʰ n a	ʋ a l i	k a lː ə	g u g a	k a n ɖ	k e l	k a lː ə	ɾ aː j i	k a ɾ s	k a lː u	k a lː u
sun	o tː ə	p o tː ə	d e	p o ɾ ə	s uː r j a	s uː ɾ j a	s u ɾ i j a,p o d d u	s uː r i j a n,p o ɖ u t ə	p o ɖ u d u	b iː ɖ i	ʋ e d a	s uː ɾ j a n	b eː ɾ d u	ʋ e l e	n/a	s uː ɾ j a n	s uː ɾ j u ɖ u,p o d d u	s uː ɾ i j a n	s uː ɾ j e	tʃ uː r j a
swim	n iː n d ə	n iː n ɖ ʒ u	b e ʂ o l i n g	p o h e m,n a ɾ i	iː dʒ o	m iː ɾ o d u	p oː n i m	n iː tʃ a l	iː t a	oː g n a	n/a	n e e n t u g a	h oː g p o	n/a	n/a	n e e n t ə	iː d u	n iː tʃ a l	m iː n d a ɾ a	m a ɳ a
tail	p aː l ə	b aː l ə	l i ʈː i k	t o k o ɾ	b aː l a	b aː l ə	t oː k a	ʋ aː l ə	t o k aː ɾ	kʰ o l a	n/a	ʋ aː l ə	o l i	k i n d i ɾ	t oː k a	ʋ aː l ə	v aː l a m u,t oː k a	p oː ɾ s a m	b iː l a	b aː l u
that	a d ə	a d ə	a e	a d u	aː,a dʱ u	a d ə	a d	a dʱ ə	a d d u	h uː	e t	aː,a d ə	aː d u,h aː d	a d ə	aː	a n t a,a dʱ ə	aː,a d i	a d ə	a ʋ u	a ʋ eː
this	i d ə	i d ə	d aː	i d	i dʱ u	i d ə	i d	i dʱ ə	i d d u	iː d	i d u	iː,i d ə	iː d u	i d ə	iː	i n t a,i dʱ ə	iː,i d i	i d ə	u n d u	i ʋ eː
thou	n i	n iː j ə	n iː	n i mː e	n iː n u	n iː n ə	n iː n u	n iː j a	n i mː a	n iː n	n i n u	n i	n iː n,n iː n u	i n	iː n	n i	n iː ʋ u,n u ʋː u	n i	i	n i
tongue	n aː l a n g e	n e l g i	d u ʋ iː	ʋ e n dʒ e ɾ	n aː l i g e	n aː ʋ u	n aː l k a	n aː l g ə	n aː l i k e	t a kː h a	ʋ e n ɖ aː ɾ u	n aː k ə	t a ɖ t a	n aː n g	n e v ã ɖ	n aː kː ə	n aː l u k a	n oː f	n aː l aː j i	n aː ʋ u
tooth	h a lː ə	p a lː ə	d a n d aː n,d a n t aː n	p a l	h a lː u	p a lː ə	p a l k u	p a l	p a l k	p a lː	p a l u	p a lː ə	p aː l d u	p aː l k i lː	p e l	p a lː ə	p a nː u	p a ɾ s e	k uː l i	p a lː u
tree	m o ɾ a	m e ɾ i	d ɾ a h kʰ t	m a ɾ a	m a r a	m a ɾ a	m aː k	m a ɾ a m	m aː ɾ a	m a nː	p a ʈ a	m a ɾ a m,v r u k ʂ a m	n/a	n/a	m e r i	m a ɾ a m	tʃ e ʈː u	m eː n	m a ɾ a	m a ɾ a
two	e ɾ a ɖ ə	ə d d u	i ɾ a t	ɾ e ɳ ɖ u	j e ɾ a ɖ u	d a ɳ ɖ ə	d u ɖ ə	e ɖ u	ɾ e ɳ ɖ	iː r ə b	r i n ɖ a	ɾ e n d ə	p aː n ɖ a,m a k s a,dʒ oː ɖ s a	i ɾ u ɖ u	i r	ɾ e n ɖ ə	ɾ e ɳ ɖ u	eː ɖ ə	ɾ a ɖː u	i ɾ a n d ə
walk	n a ɖ ə ʋ a d ə	n a ɖ i	tʃ e ɾ ɾ i n g	t a k a	n a ɖ ə	n a ɖ a	n a ɖ u s	n a ɖ ʋ u	n a ɖ a m	eː kʰ n a	n/a	n a ɖ a kː u g a	h eː k p o	n/a	n/a	n a ɖ ə	n a ɖ u tʃ u	n a ɖ a ɾ ɾ ə,n a ɖ a n d ə	n a ɖ a p a ɾ a	n a ɖ a
warm	u pː e kː e,u pː e	s uː ɖ ə	b aː s u n	k aː s t a	b e tːʃ a g e	b e kː e	ʋ e kː a	n/a	ʋ eː ɖ	u d u m,oː ɾ tʃ k a	n/a	u ʂ ɳ a +,tʃ e ɾ ə tʃ uː ɖ ə	k u ɖ n i	ʋ e ʈ a l	n/a	ʋ e d ə ʋ e d ə pː ə,s uː ɖ ə	ʋ e tːʃ a	k o r t i l i j e	b e tːʃ a	b e kː i
water	n iː ɾ ə	n iː ɾ ə	d iː r	j e ɾ	n iː ɾ u	n iː ɾ ə	iː ɾ	n iː ɾ	eː ɾ u	a mː	e j u	ʋ e lː a m,j a l a m	h a m d u	n iː r	n iː r	t a ɳ ɳ i,n iː ɾ ə	n iː ɾ u,n iː ɭː u	n iː ɾ	n iː ɾ ə	n iː ɾ u
we	n a n g a	n a ɳ g ə,j a ɳ g ə	n a n	m a mː o ʈ	n aː ʋ u	n a n g a	a m d ə	a mː e	m a n aː ɖ u,m a mː a	n aː m	m a m b u	n aː m,n a mː a l	n aː m u	aː m	aː m	n aː m,n aː n g a	m a n a m u,m eː m u	oː m	j a n k u l u	n a n g a
what	eː n ə	a j i n d i	a n t ə	b a ʈː a l	j eː n u	j e n t ə	e m	e t aː n ə	b aː t a	j eː n d r a	e n a	e n d ə	i n d i ɾ d u,i n d ɾ aː n	e nː aː ʈ	n aː t o	e nː e	eː m i,eː ɳ ʈ i,eː m i ʈ i	i nː o	e n tʃ i n a	e n t a i
white	ʋ e ɭː e	b ə ɭː u	p iː u n	t e lː a g	b i ɭ i	b o l t a d ə	t e lː u ɖ i	ʋ e lː ə	t e l u p	p a ɳ ɖ ɾ u	p a n d i,d u m d a,k u m n ɖ i	ʋ e ɭ u pː ə	s a d aː,dʒ i n p ɾ o	n/a	v i l	v e ɭː ə	v e lː a,t e l u p u	p e l t i	b o l d u	b o l t a j i
who	t aː ɾ a	d aː ɾ ə	d eː ɾ	b o ɾ	j aː ɾ u	d aː ɾ ə	n/a	d aː ɾ ə	b eː n o n ɖ u	n e	d a a t	aː ɾ ə	n eː d u	n/a	e d	j a a r ə	e v a r u	o ɾ i	j eː ɾ u	j aː ɾ u
woman	e mː aː t i	p ə ɳ a kː ə n	n j a a ɽ i	m u ɾ t a d	h e n g a s u,s t r iː	p o nː aː ɭ ə	b aː j i	p e m a g u	n aː t a ʋ aː d,p iː k iː ɖ	m u kː a,aː l i	ɖ o l i,aː n ʋ a n l i,k o d o g i # p a d a	p e ɳ ɳ ə,s t ɾ iː	t e l d u	n/a	n/a	p e ɳ,p o ɳ ɳ ə	s t ɾ iː,aː ɖ a d i,m a h i ɭ a	t u s m oː g ə	p o n dʒ a	p a n i tʃ i
yellow	m a n dʒ e	m a n dʒ ə l aː n g i	p uː ʃ k u n	p i v aː dʱ,k a m p a l	h a l a d i	m a n dʒ a	p i j u d a	m a n dʒ ə	p a s a p	b aː l k a	h i n g e ɾ i,t o g o ɾ i	m a ɲ a	b a l k e	n/a	n/a	m a n dʒ a ɭ	p a s u p u	a ɾ dʒ i n	m a n dʒ a l u	m a n dʒ e
